Módulo (Nivel),Dia de la semana,Tema Principal (Gramática / Estructura),Enfoque Práctico (Para los Tracks de Cotorreo),Columna 1,Columna 2,Columna 3,Columna 4,Estado,Propietario,Fecha de inicio,Fecha de finalización,Warm Up,Core Phase: Input,Core Phase: Output
Basic — B Mix (Consolidación),Jue,Sem 3 — Salud y Bienestar en Inglés,VP9/NP9 NUEVO — Doctor visits / síntomas / consejos de salud / instrucciones médicas,Verbs Pack 9 — Hospital & Health (NUEVO),Nouns Pack 9 — Body & Health (NUEVO),,Modal verbs de fuerza: must/should/can't · Quantifiers de dosis · OPs en instrucciones médicas,Sin comenzar,,,,emojispell,listening,talktime
Basic — B Mix (Consolidación),Vie,Sem 3 — Salud y Bienestar en Inglés,VP9/NP9 NUEVO — Doctor visits / síntomas / consejos de salud / instrucciones médicas,Verbs Pack 9 — Hospital & Health (NUEVO),Nouns Pack 9 — Body & Health (NUEVO),,Modal verbs de fuerza: must/should/can't · Quantifiers de dosis · OPs en instrucciones médicas,Sin comenzar,,,,lastword⚠️,4verdades⚠️,talktime
Basic — B Mix (Consolidación),Sat,Sem 3 — Salud y Bienestar en Inglés,VP9/NP9 NUEVO — Doctor visits / síntomas / consejos de salud / instrucciones médicas,Verbs Pack 9 — Hospital & Health (NUEVO),Nouns Pack 9 — Body & Health (NUEVO),,Modal verbs de fuerza: must/should/can't · Quantifiers de dosis · OPs en instrucciones médicas,Sin comenzar,,,,small talk,songpipeline,periplo-party
Basic — B Mix (Consolidación),Lun,Sem 4 — Tu Yo Profesional en Inglés,SIN GRAMÁTICA NUEVA — Entrevista de trabajo / presentarte en 60 seg / email al jefe / mini-speech,Retrieval VP5–VP8 — Action to Corporate,Retrieval NP5–NP8 — Weekend to Money,,Integración total B1+B2 en registro profesional · a friend of MINE · Modal verbs formales,Sin comenzar,,,,flashcards,reading,talktime
Basic — B Mix (Consolidación),Mar,Sem 4 — Tu Yo Profesional en Inglés,SIN GRAMÁTICA NUEVA — Entrevista de trabajo / presentarte en 60 seg / email al jefe / mini-speech,Retrieval VP5–VP8 — Action to Corporate,Retrieval NP5–NP8 — Weekend to Money,,Integración total B1+B2 en registro profesional · a friend of MINE · Modal verbs formales,Sin comenzar,,,,anagram,lingomatch,talktime
Basic — B Mix (Consolidación),Mie,Sem 4 — Tu Yo Profesional en Inglés,SIN GRAMÁTICA NUEVA — Entrevista de trabajo / presentarte en 60 seg / email al jefe / mini-speech,Retrieval VP5–VP8 — Action to Corporate,Retrieval NP5–NP8 — Weekend to Money,,Integración total B1+B2 en registro profesional · a friend of MINE · Modal verbs formales,Sin comenzar,,,,wordcascade,reading,talktime
Basic — B Mix (Consolidación),Jue,Sem 4 — Tu Yo Profesional en Inglés,SIN GRAMÁTICA NUEVA — Entrevista de trabajo / presentarte en 60 seg / email al jefe / mini-speech,Retrieval VP5–VP8 — Action to Corporate,Retrieval NP5–NP8 — Weekend to Money,,Integración total B1+B2 en registro profesional · a friend of MINE · Modal verbs formales,Sin comenzar,,,,emojispell,listening,talktime
Basic — B Mix (Consolidación),Vie,Sem 4 — Tu Yo Profesional en Inglés,SIN GRAMÁTICA NUEVA — Entrevista de trabajo / presentarte en 60 seg / email al jefe / mini-speech,Retrieval VP5–VP8 — Action to Corporate,Retrieval NP5–NP8 — Weekend to Money,,Integración total B1+B2 en registro profesional · a friend of MINE · Modal verbs formales,Sin comenzar,,,,lastword⚠️,conoceme⚠️,talktime
Basic — B Mix (Consolidación),Sat,Sem 4 — Tu Yo Profesional en Inglés,SIN GRAMÁTICA NUEVA — Entrevista de trabajo / presentarte en 60 seg / email al jefe / mini-speech,Retrieval VP5–VP8 — Action to Corporate,Retrieval NP5–NP8 — Weekend to Money,,Integración total B1+B2 en registro profesional · a friend of MINE · Modal verbs formales,Sin comenzar,,,,small talk,songpipeline,periplo-party
Advanced — A1 Foundation,Lun,Sem 1 — Past Simple,Past Simple (Regular / Irregular),Regular Verbs — ALL (-ed: /t/ /d/ /ɪd/),Nouns Pack 1 — Success & Failure,AP1 (Adj Pack 1),,Sin comenzar,,,,presentations,reading,connect4
Advanced — A1 Foundation,Mar,Sem 1 — Past Simple,Past Simple (Regular / Irregular),Regular Verbs — ALL (-ed: /t/ /d/ /ɪd/),Nouns Pack 1 — Success & Failure,AP1 (Adj Pack 1),,Sin comenzar,,,,presentations,reading,connect4
Advanced — A1 Foundation,Mie,Sem 1 — Past Simple,Past Simple (Regular / Irregular),Regular Verbs — ALL (-ed: /t/ /d/ /ɪd/),Nouns Pack 1 — Success & Failure,AP1 (Adj Pack 1),,Sin comenzar,,,,presentations,reading,connect4
Advanced — A1 Foundation,Jue,Sem 1 — Past Simple,Past Simple (Regular / Irregular),Regular Verbs — ALL (-ed: /t/ /d/ /ɪd/),Nouns Pack 1 — Success & Failure,AP1 (Adj Pack 1),,Sin comenzar,,,,presentations,reading,connect4
Advanced — A1 Foundation,Vie,Sem 1 — Past Simple,Past Simple (Regular / Irregular),Regular Verbs — ALL (-ed: /t/ /d/ /ɪd/),Nouns Pack 1 — Success & Failure,AP1 (Adj Pack 1),,Sin comenzar,,,,presentations,reading,connect4
Advanced — A1 Foundation,Sat,Sem 1 — Past Simple,Past Simple (Regular / Irregular),Regular Verbs — ALL (-ed: /t/ /d/ /ɪd/),Nouns Pack 1 — Success & Failure,AP1 (Adj Pack 1),,Sin comenzar,,,,presentations,reading,connect4
Advanced — A1 Foundation,Lun,Sem 2 — Second Conditional,Second Conditional (If I were…),ALL Irregular Verbs (async: A–F / G–L / M–R / S–Z),Nouns Pack 2 — Truth & Lies,AP2 (Adj Pack 2),Evaluación micro-ciclo Sem 1+2,Sin comenzar,,,,uno,lingomatch,talktime
Advanced — A1 Foundation,Mar,Sem 2 — Second Conditional,Second Conditional (If I were…),ALL Irregular Verbs (async: A–F / G–L / M–R / S–Z),Nouns Pack 2 — Truth & Lies,AP2 (Adj Pack 2),Evaluación micro-ciclo Sem 1+2,Sin comenzar,,,,uno,lingomatch,talktime
Advanced — A1 Foundation,Mie,Sem 2 — Second Conditional,Second Conditional (If I were…),ALL Irregular Verbs (async: A–F / G–L / M–R / S–Z),Nouns Pack 2 — Truth & Lies,AP2 (Adj Pack 2),Evaluación micro-ciclo Sem 1+2,Sin comenzar,,,,uno,lingomatch,talktime
Advanced — A1 Foundation,Jue,Sem 2 — Second Conditional,Second Conditional (If I were…),ALL Irregular Verbs (async: A–F / G–L / M–R / S–Z),Nouns Pack 2 — Truth & Lies,AP2 (Adj Pack 2),Evaluación micro-ciclo Sem 1+2,Sin comenzar,,,,uno,lingomatch,talktime
